country,factor,theme,real_beta,real_beta_t,bei_beta,bei_beta_t,mkt_beta,pre_mean,pre_vol,post_mean,n_pre,n_post,post_mean_2022,post_mean_2023,post_mean_2024
isr,rd_sale,intangibles,-0.019500801283198227,-0.7629810413873638,-0.12937215615364017,-3.1775710800967185,-0.5395822284925029,-0.011069006312970394,0.07520803020112819,0.006847518253638031,176,48,-0.012452508514327887,0.04113914438595596,-0.01131823010995126
isr,ret_12_1,momentum,-0.024386359744588457,-1.8760373938014037,-0.077014991968014,-2.512200372726042,-0.23385287650949868,0.009586988951338278,0.04739324280050703,0.009702385062362812,227,48,0.008839345468806025,0.004670707763508524,0.013165461599480436
isr,ret_12_7,new,-0.013862760522776444,-1.3233085784131757,-0.04500882818168867,-1.7174457857026395,-0.1518636033541888,0.0024355228384331648,0.040630168331118384,0.008673663137064887,227,48,0.005843667910095658,0.011491369488471794,0.0117304048989733
isr,ret_1_0,trading frictions,-0.0014833553577165322,-0.10925595728694361,0.06491308422970464,2.4866276016813753,0.13466684261510917,-0.005470421741383996,0.0397852552430041,3.1102684452339866e-05,227,48,0.018622455179594603,0.0016687432688221827,-0.015576717696432625
isr,ret_3_1,new,-0.02126780789174438,-1.7414022800809303,-0.0726391237520973,-2.115249865683427,-0.17262748840153858,0.009451463436274087,0.04246554043159225,0.007858574875399508,227,48,0.010114163216221326,-0.013047716934682275,0.012923467384533325
isr,ret_60_12,value,0.005238032807135156,0.34350513794143284,-0.04966264150137774,-1.2997259584349783,-0.0972295140692634,-0.0019773280236844108,0.04708390628580083,0.0070889685130340096,227,48,0.025034054129731156,0.003424798098336192,0.017031803646996482
isr,ret_6_1,momentum,-0.03440850359270452,-2.2300205307183294,-0.08707705586678778,-3.300886132159553,-0.24980736431972556,0.010929675051115143,0.04721053017971892,0.010848550519805447,227,48,0.013454311496613325,-0.00258891182167485,0.0014872035571175332
isr,ret_9_1,new,-0.02409540458518044,-1.788534617145335,-0.0767007142269932,-2.714299096286956,-0.2120545813414239,0.010428687582517396,0.04618026127674885,0.00860854466329151,227,48,0.01118952667030991,-0.0057518675132829334,0.009717486605555591
isr,rmax1_21d,trading frictions,0.015975007478578798,1.3314549741655477,-0.06742141504965105,-4.663827266649321,-0.29278361441841566,0.0019492070130957156,0.036738737241980575,0.0018952355632950266,218,48,0.01654024327557359,-0.0062916357180340665,-0.004785457278411291
isr,rmax5_21d,new,0.009841375513613814,0.7336871418786107,-0.08389319299336576,-5.369562993802427,-0.3535644102857173,0.002906771885768139,0.03977755773568464,-0.0017941085593963394,218,48,0.015139441423433084,-0.01113571760122656,-0.0108738308583637
isr,rmax5_rvol_21d,new,0.005584918029829045,0.36851959767000003,0.014729766159137249,0.7363825451503537,-0.04494302996153376,0.0017016757518800584,0.037329256626553696,-0.005356313572945109,218,48,0.0038173837996552,-0.003107602079907684,-0.01766583578166051
isr,rskew_21d,trading frictions,0.012560977293459574,0.7496979196806105,0.006386892831356688,0.43098848429705616,-0.003465590449423901,0.0007597449979084705,0.03272345757209971,-0.0015287953010217974,218,48,0.009482352033566633,-0.00960145268686939,-0.01002448449819738
isr,rvol_21d,trading frictions,-0.005865583692145369,-0.30716016800491797,-0.1210933451169537,-4.193025844342898,-0.45376320178527196,0.005097967387144284,0.04539385821226345,0.00035242526360348275,218,48,0.00855676485307494,-0.006407265917219134,-0.00777975452645555
isr,sale_bev,profitability,0.021260909315285972,2.129730001137766,-0.010711975579690997,-0.9490682381036855,-0.12147339713489086,0.0002784072000001753,0.03168716350072048,0.0014643981318556,227,48,-0.0044787833368096,-0.008000540605658225,0.005555690435708766
isr,sale_emp_gr1,intangibles,-0.0022277349444135737,-0.1212234036731183,0.04067564100830045,1.2930455940382335,0.02290826850137784,-0.0019078960659192473,0.04709959414864252,0.007718459923787603,164,48,-0.01009346395591901,0.002977627897027058,0.010178863442739208
isr,sale_gr1,value,-0.017276229486087317,-1.1533942596731601,-0.04160517415006405,-1.680463587577201,0.03322092908067948,0.0015477609136266635,0.0365457158168208,-0.0011074119297223527,227,48,0.011926717350168634,-0.0032989079247179418,-0.0036520017574095246
isr,sale_gr3,value,2.2237977870445517e-05,0.0021753470977498766,-0.04324857698756322,-1.8300855429119471,0.014309425691745599,0.000653288228684885,0.030675596594329634,0.0058283512856790246,227,48,0.0244203628469527,-0.007449199561164694,0.013847874668949248
isr,sale_me,value,0.033082089212295177,2.162809349953026,0.07756249416620795,3.088178569581836,0.30185175441326184,0.0009811279345958636,0.03991132230631754,0.010236203340105275,227,48,0.018438104991211245,-0.010474111427702751,0.026877214553232307
isr,saleq_gr1,profitability,-0.0031786656734519485,-0.16519936751383857,-0.044014356879271466,-0.9498085305372892,-0.006101545044619816,-0.003551601292138221,0.050725109858461626,-0.0029681288248870796,203,48,0.001625243610011258,-0.010327671017445058,0.010871901491662167
isr,saleq_su,momentum,0.014791654942306965,0.812672155342197,0.05760320116639438,1.4951610584779034,0.1500558533901838,0.0034523721720553847,0.0519971091915759,0.0032432778788238914,176,48,0.002607179382189042,0.014046149067167564,0.00519283020769425
isr,seas_11_15an,intangibles,-0.0016762014748413863,-0.07842736988789005,-0.044760009415733666,-1.6187029887227788,-0.08689708003274998,-0.00505667322046484,0.04463238412002583,0.0007369212721292821,143,48,-0.00025423679817013326,0.007250990802211998,-0.0030567900526809653
isr,seas_11_15na,intangibles,0.014834352702922715,0.8841374510928757,-0.020549865569325282,-0.6543129897816562,-0.02992811876083417,-0.004444927701808398,0.04147366903635053,0.0051763995907876895,143,48,-0.0035594000911418166,-0.002453274241008251,0.009386382943172481
